"Notes","Residence State","Residence State Code","UCD - ICD Chapter","UCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"Alaska","02","Mental and behavioural disorders","F01-F99",2289,5866615,39.0
,"Alaska","02","Diseases of the nervous system","G00-G98",2350,5866615,40.1
,"Alaska","02","Diseases of the circulatory system","I00-I99",9507,5866615,162.1
,"Alaska","02","Diseases of the respiratory system","J00-J98",2906,5866615,49.5
,"Alaska","02","Diseases of the digestive system","K00-K92",2310,5866615,39.4
,"Alaska","02","Diseases of the skin and subcutaneous tissue","L00-L98",91,5866615,1.6
,"Alaska","02","Diseases of the musculoskeletal system and connective tissue","M00-M99",270,5866615,4.6
,"Alaska","02","Diseases of the genitourinary system","N00-N98",830,5866615,14.1
,"Alaska","02","Pregnancy, childbirth and the puerperium","O00-O99",24,5866615,0.4
,"Alaska","02","Certain conditions originating in the perinatal period","P00-P96",149,5866615,2.5
,"Alaska","02","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",185,5866615,3.2
,"Alaska","02","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",506,5866615,8.6
,"Alaska","02","Codes for special purposes","U00-U99",1385,5866615,23.6
,"Alaska","02","External causes of morbidity and mortality","V01-Y89",6256,5866615,106.6
,"Alaska","02","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",341,5866615,5.8
,"Arizona","04","Certain infectious and parasitic diseases","A00-B99",9521,58801309,16.2
,"Arizona","04","Neoplasms","C00-D48",102315,58801309,174.0
,"Arizona","04","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1601,58801309,2.7
,"Arizona","04","Endocrine, nutritional and metabolic diseases","E00-E88",32660,58801309,55.5
,"Arizona","04","Mental and behavioural disorders","F01-F99",14493,58801309,24.6
,"Arizona","04","Diseases of the nervous system","G00-G98",53666,58801309,91.3
,"Arizona","04","Diseases of the eye and adnexa","H00-H57",12,58801309,Unreliable
,"Arizona","04","Diseases of the ear and mastoid process","H60-H93",14,58801309,Unreliable
,"Arizona","04","Diseases of the circulatory system","I00-I99",146301,58801309,248.8
,"Arizona","04","Diseases of the respiratory system","J00-J98",46102,58801309,78.4
,"Arizona","04","Diseases of the digestive system","K00-K92",23842,58801309,40.5
,"Arizona","04","Diseases of the skin and subcutaneous tissue","L00-L98",1023,58801309,1.7
,"Arizona","04","Diseases of the musculoskeletal system and connective tissue","M00-M99",2638,58801309,4.5
,"Arizona","04","Diseases of the genitourinary system","N00-N98",8935,58801309,15.2
,"Arizona","04","Pregnancy, childbirth and the puerperium","O00-O99",234,58801309,0.4
,"Arizona","04","Certain conditions originating in the perinatal period","P00-P96",1589,58801309,2.7
,"Arizona","04","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1762,58801309,3.0
,"Arizona","04","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",7797,58801309,13.3
,"Arizona","04","Codes for special purposes","U00-U99",27594,58801309,46.9
,"Arizona","04","External causes of morbidity and mortality","V01-Y89",56057,58801309,95.3
,"Arizona","04","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",3184,58801309,5.4
,"Arkansas","05","Certain infectious and parasitic diseases","A00-B99",6508,24336875,26.7
,"Arkansas","05","Neoplasms","C00-D48",52026,24336875,213.8
,"Arkansas","05","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",979,24336875,4.0
,"Arkansas","05","Endocrine, nutritional and metabolic diseases","E00-E88",15987,24336875,65.7
,"Arkansas","05","Mental and behavioural disorders","F01-F99",7828,24336875,32.2
,"Arkansas","05","Diseases of the nervous system","G00-G98",24390,24336875,100.2
,"Arkansas","05","Diseases of the circulatory system","I00-I99",85189,24336875,350.0
,"Arkansas","05","Diseases of the respiratory system","J00-J98",28573,24336875,117.4
,"Arkansas","05","Diseases of the digestive system","K00-K92",10803,24336875,44.4
,"Arkansas","05","Diseases of the skin and subcutaneous tissue","L00-L98",470,24336875,1.9
,"Arkansas","05","Diseases of the musculoskeletal system and connective tissue","M00-M99",1227,24336875,5.0
,"Arkansas","05","Diseases of the genitourinary system","N00-N98",7828,24336875,32.2
,"Arkansas","05","Pregnancy, childbirth and the puerperium","O00-O99",140,24336875,0.6
,"Arkansas","05","Certain conditions originating in the perinatal period","P00-P96",947,24336875,3.9
,"Arkansas","05","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",893,24336875,3.7
,"Arkansas","05","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1991,24336875,8.2
,"Arkansas","05","Codes for special purposes","U00-U99",11357,24336875,46.7
,"Arkansas","05","External causes of morbidity and mortality","V01-Y89",20551,24336875,84.4
,"Arkansas","05","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1015,24336875,4.2
,"California","06","Certain infectious and parasitic diseases","A00-B99",36273,313600103,11.6
,"California","06","Neoplasms","C00-D48",474317,313600103,151.2
,"California","06","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",6508,313600103,2.1
,"California","06","Endocrine, nutritional and metabolic diseases","E00-E88",124200,313600103,39.6
,"California","06","Mental and behavioural disorders","F01-F99",64862,313600103,20.7
,"California","06","Diseases of the nervous system","G00-G98",226951,313600103,72.4
,"California","06","Diseases of the eye and adnexa","H00-H57",35,313600103,0.0
,"California","06","Diseases of the ear and mastoid process","H60-H93",59,313600103,0.0
,"California","06","Diseases of the circulatory system","I00-I99",699743,313600103,223.1
,"California","06","Diseases of the respiratory system","J00-J98",176836,313600103,56.4
,"California","06","Diseases of the digestive system","K00-K92",93510,313600103,29.8
,"California","06","Diseases of the skin and subcutaneous tissue","L00-L98",3181,313600103,1.0
,"California","06","Diseases of the musculoskeletal system and connective tissue","M00-M99",9430,313600103,3.0
,"California","06","Diseases of the genitourinary system","N00-N98",50592,313600103,16.1
,"California","06","Pregnancy, childbirth and the puerperium","O00-O99",597,313600103,0.2
,"California","06","Certain conditions originating in the perinatal period","P00-P96",6961,313600103,2.2
,"California","06","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",7514,313600103,2.4
,"California","06","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",14989,313600103,4.8
,"California","06","Codes for special purposes","U00-U99",102273,313600103,32.6
,"California","06","External causes of morbidity and mortality","V01-Y89",183919,313600103,58.6
,"California","06","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",8462,313600103,2.7
,"Colorado","08","Certain infectious and parasitic diseases","A00-B99",6509,46546844,14.0
,"Colorado","08","Neoplasms","C00-D48",65243,46546844,140.2
,"Colorado","08","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1144,46546844,2.5
,"Colorado","08","Endocrine, nutritional and metabolic diseases","E00-E88",16871,46546844,36.2
,"Colorado","08","Mental and behavioural disorders","F01-F99",17619,46546844,37.9
,"Colorado","08","Diseases of the nervous system","G00-G98",32937,46546844,70.8
,"Colorado","08","Diseases of the ear and mastoid process","H60-H93",16,46546844,Unreliable
,"Colorado","08","Diseases of the circulatory system","I00-I99",84025,46546844,180.5
,"Colorado","08","Diseases of the respiratory system","J00-J98",29966,46546844,64.4
,"Colorado","08","Diseases of the digestive system","K00-K92",17611,46546844,37.8
,"Colorado","08","Diseases of the skin and subcutaneous tissue","L00-L98",733,46546844,1.6
,"Colorado","08","Diseases of the musculoskeletal system and connective tissue","M00-M99",2121,46546844,4.6
,"Colorado","08","Diseases of the genitourinary system","N00-N98",6176,46546844,13.3
,"Colorado","08","Pregnancy, childbirth and the puerperium","O00-O99",110,46546844,0.2
,"Colorado","08","Certain conditions originating in the perinatal period","P00-P96",1198,46546844,2.6
,"Colorado","08","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1198,46546844,2.6
,"Colorado","08","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2421,46546844,5.2
,"Colorado","08","Codes for special purposes","U00-U99",13007,46546844,27.9
,"Colorado","08","External causes of morbidity and mortality","V01-Y89",40232,46546844,86.4
,"Colorado","08","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",2216,46546844,4.8
,"Connecticut","09","Certain infectious and parasitic diseases","A00-B99",6307,28778288,21.9
,"Connecticut","09","Neoplasms","C00-D48",52081,28778288,181.0
,"Connecticut","09","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1202,28778288,4.2
,"Connecticut","09","Endocrine, nutritional and metabolic diseases","E00-E88",11670,28778288,40.6
,"Connecticut","09","Mental and behavioural disorders","F01-F99",17468,28778288,60.7
,"Connecticut","09","Diseases of the nervous system","G00-G98",19257,28778288,66.9
,"Connecticut","09","Diseases of the eye and adnexa","H00-H57",11,28778288,Unreliable
,"Connecticut","09","Diseases of the circulatory system","I00-I99",70223,28778288,244.0
,"Connecticut","09","Diseases of the respiratory system","J00-J98",21153,28778288,73.5
,"Connecticut","09","Diseases of the digestive system","K00-K92",10754,28778288,37.4
,"Connecticut","09","Diseases of the skin and subcutaneous tissue","L00-L98",588,28778288,2.0
,"Connecticut","09","Diseases of the musculoskeletal system and connective tissue","M00-M99",1387,28778288,4.8
,"Connecticut","09","Diseases of the genitourinary system","N00-N98",7446,28778288,25.9
,"Connecticut","09","Pregnancy, childbirth and the puerperium","O00-O99",67,28778288,0.2
,"Connecticut","09","Certain conditions originating in the perinatal period","P00-P96",672,28778288,2.3
,"Connecticut","09","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",672,28778288,2.3
,"Connecticut","09","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",3109,28778288,10.8
,"Connecticut","09","Codes for special purposes","U00-U99",11617,28778288,40.4
,"Connecticut","09","External causes of morbidity and mortality","V01-Y89",21066,28778288,73.2
,"Connecticut","09","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",949,28778288,3.3
,"Delaware","10","Certain infectious and parasitic diseases","A00-B99",1761,8045194,21.9
,"Delaware","10","Neoplasms","C00-D48",17577,8045194,218.5
,"Delaware","10","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",333,8045194,4.1
,"Delaware","10","Endocrine, nutritional and metabolic diseases","E00-E88",4152,8045194,51.6
,"Delaware","10","Mental and behavioural disorders","F01-F99",3590,8045194,44.6
,"Delaware","10","Diseases of the nervous system","G00-G98",5855,8045194,72.8
,"Delaware","10","Diseases of the circulatory system","I00-I99",24434,8045194,303.7
,"Delaware","10","Diseases of the respiratory system","J00-J98",6558,8045194,81.5
,"Delaware","10","Diseases of the digestive system","K00-K92",3126,8045194,38.9
,"Delaware","10","Diseases of the skin and subcutaneous tissue","L00-L98",177,8045194,2.2
,"Delaware","10","Diseases of the musculoskeletal system and connective tissue","M00-M99",416,8045194,5.2
,"Delaware","10","Diseases of the genitourinary system","N00-N98",1922,8045194,23.9
,"Delaware","10","Pregnancy, childbirth and the puerperium","O00-O99",18,8045194,Unreliable
,"Delaware","10","Certain conditions originating in the perinatal period","P00-P96",273,8045194,3.4
,"Delaware","10","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",230,8045194,2.9
,"Delaware","10","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",500,8045194,6.2
,"Delaware","10","Codes for special purposes","U00-U99",3084,8045194,38.3
,"Delaware","10","External causes of morbidity and mortality","V01-Y89",7126,8045194,88.6
,"Delaware","10","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",297,8045194,3.7
,"District of Columbia","11","Certain infectious and parasitic diseases","A00-B99",1403,5499789,25.5
,"District of Columbia","11","Neoplasms","C00-D48",7731,5499789,140.6
,"District of Columbia","11","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",178,5499789,3.2
,"District of Columbia","11","Endocrine, nutritional and metabolic diseases","E00-E88",1840,5499789,33.5
,"District of Columbia","11","Mental and behavioural disorders","F01-F99",2072,5499789,37.7
,"District of Columbia","11","Diseases of the nervous system","G00-G98",1976,5499789,35.9
,"District of Columbia","11","Diseases of the circulatory system","I00-I99",12421,5499789,225.8
,"District of Columbia","11","Diseases of the respiratory system","J00-J98",2187,5499789,39.8
,"District of Columbia","11","Diseases of the digestive system","K00-K92",1326,5499789,24.1
,"District of Columbia","11","Diseases of the skin and subcutaneous tissue","L00-L98",121,5499789,2.2
,"District of Columbia","11","Diseases of the musculoskeletal system and connective tissue","M00-M99",255,5499789,4.6
,"District of Columbia","11","Diseases of the genitourinary system","N00-N98",671,5499789,12.2
,"District of Columbia","11","Pregnancy, childbirth and the puerperium","O00-O99",34,5499789,0.6
,"District of Columbia","11","Certain conditions originating in the perinatal period","P00-P96",181,5499789,3.3
,"District of Columbia","11","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",135,5499789,2.5
,"District of Columbia","11","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",300,5499789,5.5
,"District of Columbia","11","Codes for special purposes","U00-U99",1630,5499789,29.6
,"District of Columbia","11","External causes of morbidity and mortality","V01-Y89",5739,5499789,104.3
,"District of Columbia","11","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",192,5499789,3.5
,"Florida","12","Certain infectious and parasitic diseases","A00-B99",36094,176368503,20.5
,"Florida","12","Neoplasms","C00-D48",371397,176368503,210.6
,"Florida","12","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",6663,176368503,3.8
,"Florida","12","Endocrine, nutritional and metabolic diseases","E00-E88",90062,176368503,51.1
,"Florida","12","Mental and behavioural disorders","F01-F99",69321,176368503,39.3
,"Florida","12","Diseases of the nervous system","G00-G98",133650,176368503,75.8
,"Florida","12","Diseases of the eye and adnexa","H00-H57",36,176368503,0.0
,"Florida","12","Diseases of the ear and mastoid process","H60-H93",55,176368503,0.0
,"Florida","12","Diseases of the circulatory system","I00-I99",541165,176368503,306.8
,"Florida","12","Diseases of the respiratory system","J00-J98",144335,176368503,81.8
,"Florida","12","Diseases of the digestive system","K00-K92",63348,176368503,35.9
,"Florida","12","Diseases of the skin and subcutaneous tissue","L00-L98",2751,176368503,1.6
,"Florida","12","Diseases of the musculoskeletal system and connective tissue","M00-M99",7498,176368503,4.3
,"Florida","12","Diseases of the genitourinary system","N00-N98",37610,176368503,21.3
,"Florida","12","Pregnancy, childbirth and the puerperium","O00-O99",486,176368503,0.3
,"Florida","12","Certain conditions originating in the perinatal period","P00-P96",5267,176368503,3.0
,"Florida","12","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",4605,176368503,2.6
,"Florida","12","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",27062,176368503,15.3
,"Florida","12","Codes for special purposes","U00-U99",72828,176368503,41.3
,"Florida","12","External causes of morbidity and mortality","V01-Y89",150649,176368503,85.4
,"Florida","12","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",7128,176368503,4.0
,"Georgia","13","Certain infectious and parasitic diseases","A00-B99",20049,86647038,23.1
,"Georgia","13","Neoplasms","C00-D48",143855,86647038,166.0
,"Georgia","13","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",3073,86647038,3.5
,"Georgia","13","Endocrine, nutritional and metabolic diseases","E00-E88",37286,86647038,43.0
,"Georgia","13","Mental and behavioural disorders","F01-F99",20881,86647038,24.1
,"Georgia","13","Diseases of the nervous system","G00-G98",72970,86647038,84.2
,"Georgia","13","Diseases of the eye and adnexa","H00-H57",16,86647038,Unreliable
,"Georgia","13","Diseases of the ear and mastoid process","H60-H93",17,86647038,Unreliable
,"Georgia","13","Diseases of the circulatory system","I00-I99",215986,86647038,249.3
,"Georgia","13","Diseases of the respiratory system","J00-J98",67982,86647038,78.5
,"Georgia","13","Diseases of the digestive system","K00-K92",27417,86647038,31.6
,"Georgia","13","Diseases of the skin and subcutaneous tissue","L00-L98",1425,86647038,1.6
,"Georgia","13","Diseases of the musculoskeletal system and connective tissue","M00-M99",3588,86647038,4.1
,"Georgia","13","Diseases of the genitourinary system","N00-N98",21609,86647038,24.9
,"Georgia","13","Pregnancy, childbirth and the puerperium","O00-O99",465,86647038,0.5
,"Georgia","13","Certain conditions originating in the perinatal period","P00-P96",3201,86647038,3.7
,"Georgia","13","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",2341,86647038,2.7
,"Georgia","13","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",9154,86647038,10.6
,"Georgia","13","Codes for special purposes","U00-U99",33445,86647038,38.6
,"Georgia","13","External causes of morbidity and mortality","V01-Y89",61585,86647038,71.1
,"Georgia","13","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",2819,86647038,3.3
,"Hawaii","15","Certain infectious and parasitic diseases","A00-B99",1813,11430532,15.9
,"Hawaii","15","Neoplasms","C00-D48",20078,11430532,175.7
,"Hawaii","15","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",308,11430532,2.7
,"Hawaii","15","Endocrine, nutritional and metabolic diseases","E00-E88",3958,11430532,34.6
,"Hawaii","15","Mental and behavioural disorders","F01-F99",6404,11430532,56.0
,"Hawaii","15","Diseases of the nervous system","G00-G98",7327,11430532,64.1
,"Hawaii","15","Diseases of the circulatory system","I00-I99",29791,11430532,260.6
,"Hawaii","15","Diseases of the respiratory system","J00-J98",7405,11430532,64.8
,"Hawaii","15","Diseases of the digestive system","K00-K92",3467,11430532,30.3
,"Hawaii","15","Diseases of the skin and subcutaneous tissue","L00-L98",352,11430532,3.1
,"Hawaii","15","Diseases of the musculoskeletal system and connective tissue","M00-M99",447,11430532,3.9
,"Hawaii","15","Diseases of the genitourinary system","N00-N98",2428,11430532,21.2
,"Hawaii","15","Pregnancy, childbirth and the puerperium","O00-O99",28,11430532,0.2
,"Hawaii","15","Certain conditions originating in the perinatal period","P00-P96",315,11430532,2.8
,"Hawaii","15","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",267,11430532,2.3
,"Hawaii","15","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1779,11430532,15.6
,"Hawaii","15","Codes for special purposes","U00-U99",1832,11430532,16.0
,"Hawaii","15","External causes of morbidity and mortality","V01-Y89",7111,11430532,62.2
,"Hawaii","15","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",327,11430532,2.9
,"Idaho","16","Certain infectious and parasitic diseases","A00-B99",1938,15102320,12.8
,"Idaho","16","Neoplasms","C00-D48",25038,15102320,165.8
,"Idaho","16","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",395,15102320,2.6
,"Idaho","16","Endocrine, nutritional and metabolic diseases","E00-E88",6765,15102320,44.8
,"Idaho","16","Mental and behavioural disorders","F01-F99",5850,15102320,38.7
,"Idaho","16","Diseases of the nervous system","G00-G98",11540,15102320,76.4
,"Idaho","16","Diseases of the circulatory system","I00-I99",33745,15102320,223.4
,"Idaho","16","Diseases of the respiratory system","J00-J98",11324,15102320,75.0
,"Idaho","16","Diseases of the digestive system","K00-K92",6131,15102320,40.6
,"Idaho","16","Diseases of the skin and subcutaneous tissue","L00-L98",279,15102320,1.8
,"Idaho","16","Diseases of the musculoskeletal system and connective tissue","M00-M99",813,15102320,5.4
,"Idaho","16","Diseases of the genitourinary system","N00-N98",2243,15102320,14.9
,"Idaho","16","Pregnancy, childbirth and the puerperium","O00-O99",45,15102320,0.3
,"Idaho","16","Certain conditions originating in the perinatal period","P00-P96",394,15102320,2.6
,"Idaho","16","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",511,15102320,3.4
,"Idaho","16","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",1345,15102320,8.9
,"Idaho","16","Codes for special purposes","U00-U99",4980,15102320,33.0
,"Idaho","16","External causes of morbidity and mortality","V01-Y89",11582,15102320,76.7
,"Idaho","16","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",677,15102320,4.5
,"Illinois","17","Certain infectious and parasitic diseases","A00-B99",20380,100902999,20.2
,"Illinois","17","Neoplasms","C00-D48",187860,100902999,186.2
,"Illinois","17","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",3583,100902999,3.6
,"Illinois","17","Endocrine, nutritional and metabolic diseases","E00-E88",39397,100902999,39.0
,"Illinois","17","Mental and behavioural disorders","F01-F99",42933,100902999,42.5
,"Illinois","17","Diseases of the nervous system","G00-G98",67957,100902999,67.3
,"Illinois","17","Diseases of the ear and mastoid process","H60-H93",25,100902999,0.0
,"Illinois","17","Diseases of the circulatory system","I00-I99",273144,100902999,270.7
,"Illinois","17","Diseases of the respiratory system","J00-J98",76565,100902999,75.9
,"Illinois","17","Diseases of the digestive system","K00-K92",33060,100902999,32.8
,"Illinois","17","Diseases of the skin and subcutaneous tissue","L00-L98",1754,100902999,1.7
,"Illinois","17","Diseases of the musculoskeletal system and connective tissue","M00-M99",4252,100902999,4.2
,"Illinois","17","Diseases of the genitourinary system","N00-N98",27572,100902999,27.3
,"Illinois","17","Pregnancy, childbirth and the puerperium","O00-O99",249,100902999,0.2
,"Illinois","17","Certain conditions originating in the perinatal period","P00-P96",3204,100902999,3.2
,"Illinois","17","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",2618,100902999,2.6
,"Illinois","17","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",10795,100902999,10.7
,"Illinois","17","Codes for special purposes","U00-U99",37372,100902999,37.0
,"Illinois","17","External causes of morbidity and mortality","V01-Y89",70978,100902999,70.3
,"Illinois","17","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",3082,100902999,3.1
,"Indiana","18","Certain infectious and parasitic diseases","A00-B99",11571,54404669,21.3
,"Indiana","18","Neoplasms","C00-D48",108823,54404669,200.0
,"Indiana","18","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",2240,54404669,4.1
,"Indiana","18","Endocrine, nutritional and metabolic diseases","E00-E88",30244,54404669,55.6
,"Indiana","18","Mental and behavioural disorders","F01-F99",25718,54404669,47.3
,"Indiana","18","Diseases of the nervous system","G00-G98",43243,54404669,79.5
,"Indiana","18","Diseases of the ear and mastoid process","H60-H93",23,54404669,0.0
,"Indiana","18","Diseases of the circulatory system","I00-I99",154339,54404669,283.7
,"Indiana","18","Diseases of the respiratory system","J00-J98",55336,54404669,101.7
,"Indiana","18","Diseases of the digestive system","K00-K92",22131,54404669,40.7
,"Indiana","18","Diseases of the skin and subcutaneous tissue","L00-L98",1085,54404669,2.0
,"Indiana","18","Diseases of the musculoskeletal system and connective tissue","M00-M99",2762,54404669,5.1
,"Indiana","18","Diseases of the genitourinary system","N00-N98",15661,54404669,28.8
,"Indiana","18","Pregnancy, childbirth and the puerperium","O00-O99",223,54404669,0.4
,"Indiana","18","Certain conditions originating in the perinatal period","P00-P96",1905,54404669,3.5
,"Indiana","18","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1880,54404669,3.5
,"Indiana","18","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",3570,54404669,6.6
,"Indiana","18","Codes for special purposes","U00-U99",23814,54404669,43.8
,"Indiana","18","External causes of morbidity and mortality","V01-Y89",46110,54404669,84.8
,"Indiana","18","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",2093,54404669,3.8
,"Iowa","19","Certain infectious and parasitic diseases","A00-B99",4722,25489384,18.5
,"Iowa","19","Neoplasms","C00-D48",50783,25489384,199.2
,"Iowa","19","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",888,25489384,3.5
,"Iowa","19","Endocrine, nutritional and metabolic diseases","E00-E88",13289,25489384,52.1
,"Iowa","19","Mental and behavioural disorders","F01-F99",14078,25489384,55.2
,"Iowa","19","Diseases of the nervous system","G00-G98",19825,25489384,77.8
,"Iowa","19","Diseases of the circulatory system","I00-I99",75934,25489384,297.9
,"Iowa","19","Diseases of the respiratory system","J00-J98",23375,25489384,91.7
,"Iowa","19","Diseases of the digestive system","K00-K92",10306,25489384,40.4
,"Iowa","19","Diseases of the skin and subcutaneous tissue","L00-L98",549,25489384,2.2
,"Iowa","19","Diseases of the musculoskeletal system and connective tissue","M00-M99",1434,25489384,5.6
,"Iowa","19","Diseases of the genitourinary system","N00-N98",5559,25489384,21.8
,"Iowa","19","Pregnancy, childbirth and the puerperium","O00-O99",73,25489384,0.3
,"Iowa","19","Certain conditions originating in the perinatal period","P00-P96",606,25489384,2.4
,"Iowa","19","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",882,25489384,3.5
,"Iowa","19","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",2995,25489384,11.7
,"Iowa","19","Codes for special purposes","U00-U99",10142,25489384,39.8
,"Iowa","19","External causes of morbidity and mortality","V01-Y89",17751,25489384,69.6
,"Iowa","19","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",988,25489384,3.9
,"Kansas","20","Certain infectious and parasitic diseases","A00-B99",4189,23431994,17.9
,"Kansas","20","Neoplasms","C00-D48",44158,23431994,188.5
,"Kansas","20","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",810,23431994,3.5
,"Kansas","20","Endocrine, nutritional and metabolic diseases","E00-E88",11868,23431994,50.6
