"Notes","Occurrence State","Occurrence State Code","Year","Year Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2023","2023","Codes for special purposes","U00-U99",1242,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","External causes of morbidity and mortality","V01-Y89",5981,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Certain infectious and parasitic diseases","A00-B99",4775,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Neoplasms","C00-D48",11582,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1330,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E89",8086,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99",7671,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the nervous system","G00-G98",7847,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the eye and adnexa","H00-H59",24,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the ear and mastoid process","H60-H95",27,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99",31327,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98",14009,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the digestive system","K00-K92",4057,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98",397,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99",945,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N99",5381,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Pregnancy, childbirth and the puerperium","O00-O99",17,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96",255,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",250,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",10698,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Injury, poisoning and certain other consequences of external causes","S00-T98",5284,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","Codes for special purposes","U00-U99",801,Not Applicable,Not Applicable
,"Alabama","01","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89",5378,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99",3205,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Neoplasms","C00-D48",8143,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",830,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Endocrine, nutritional and metabolic diseases","E00-E89",5467,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Mental and behavioural disorders","F01-F99",5368,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the nervous system","G00-G98",5984,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the eye and adnexa","H00-H59",16,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the ear and mastoid process","H60-H95",31,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the circulatory system","I00-I99",22128,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the respiratory system","J00-J98",9945,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the digestive system","K00-K92",2690,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the skin and subcutaneous tissue","L00-L98",283,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the musculoskeletal system and connective tissue","M00-M99",699,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the genitourinary system","N00-N99",3713,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Pregnancy, childbirth and the puerperium","O00-O99",20,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Certain conditions originating in the perinatal period","P00-P96",146,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",149,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",7859,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Injury, poisoning and certain other consequences of external causes","S00-T98",2612,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Codes for special purposes","U00-U99",251,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","External causes of morbidity and mortality","V01-Y89",1192,Not Applicable,Not Applicable
,"Alabama","01","2025 (provisional and partial)","2025","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1782,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Certain infectious and parasitic diseases","A00-B99",357,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Neoplasms","C00-D48",1007,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",85,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E89",603,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Mental and behavioural disorders","F01-F99",1197,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the nervous system","G00-G98",441,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the circulatory system","I00-I99",2007,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the respiratory system","J00-J98",918,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the digestive system","K00-K92",440,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98",38,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99",71,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Diseases of the genitourinary system","N00-N99",313,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Certain conditions originating in the perinatal period","P00-P96",30,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",35,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",636,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","Injury, poisoning and certain other consequences of external causes","S00-T98",787,Not Applicable,Not Applicable
,"Alaska","02","2018","2018","External causes of morbidity and mortality","V01-Y89",818,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Certain infectious and parasitic diseases","A00-B99",384,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Neoplasms","C00-D48",1082,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",109,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Endocrine, nutritional and metabolic diseases","E00-E89",651,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Mental and behavioural disorders","F01-F99",1334,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the nervous system","G00-G98",467,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the circulatory system","I00-I99",2061,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the respiratory system","J00-J98",1001,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the digestive system","K00-K92",467,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the skin and subcutaneous tissue","L00-L98",44,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the musculoskeletal system and connective tissue","M00-M99",78,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Diseases of the genitourinary system","N00-N99",373,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Certain conditions originating in the perinatal period","P00-P96",25,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",42,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",721,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","Injury, poisoning and certain other consequences of external causes","S00-T98",896,Not Applicable,Not Applicable
,"Alaska","02","2019","2019","External causes of morbidity and mortality","V01-Y89",948,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Certain infectious and parasitic diseases","A00-B99",405,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Neoplasms","C00-D48",1126,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",134,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Endocrine, nutritional and metabolic diseases","E00-E89",861,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Mental and behavioural disorders","F01-F99",1429,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the nervous system","G00-G98",528,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the circulatory system","I00-I99",2414,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the respiratory system","J00-J98",1148,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the digestive system","K00-K92",558,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the skin and subcutaneous tissue","L00-L98",55,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the musculoskeletal system and connective tissue","M00-M99",88,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Diseases of the genitourinary system","N00-N99",438,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Certain conditions originating in the perinatal period","P00-P96",23,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",36,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",827,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Injury, poisoning and certain other consequences of external causes","S00-T98",888,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","Codes for special purposes","U00-U99",253,Not Applicable,Not Applicable
,"Alaska","02","2020","2020","External causes of morbidity and mortality","V01-Y89",926,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Certain infectious and parasitic diseases","A00-B99",490,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Neoplasms","C00-D48",1200,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",169,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Endocrine, nutritional and metabolic diseases","E00-E89",1106,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Mental and behavioural disorders","F01-F99",1680,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the nervous system","G00-G98",608,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the circulatory system","I00-I99",2991,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the respiratory system","J00-J98",1734,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the digestive system","K00-K92",631,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the skin and subcutaneous tissue","L00-L98",64,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the musculoskeletal system and connective tissue","M00-M99",124,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Diseases of the genitourinary system","N00-N99",563,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Certain conditions originating in the perinatal period","P00-P96",32,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",39,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",997,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Injury, poisoning and certain other consequences of external causes","S00-T98",1005,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","Codes for special purposes","U00-U99",837,Not Applicable,Not Applicable
,"Alaska","02","2021","2021","External causes of morbidity and mortality","V01-Y89",1058,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Certain infectious and parasitic diseases","A00-B99",475,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Neoplasms","C00-D48",1152,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",138,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Endocrine, nutritional and metabolic diseases","E00-E89",984,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Mental and behavioural disorders","F01-F99",1587,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the nervous system","G00-G98",660,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the circulatory system","I00-I99",2733,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the respiratory system","J00-J98",1357,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the digestive system","K00-K92",599,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the skin and subcutaneous tissue","L00-L98",70,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the musculoskeletal system and connective tissue","M00-M99",118,Not Applicable,Not Applicable
,"Alaska","02","2022","2022","Diseases of the genitourinary system","N00-N99",498,Not Applicable,Not Applicable
