"Notes","Residence 2013 Urbanization","Residence 2013 Urbanization Code","Year","Year Code","UCD - ICD Chapter","UCD - ICD Chapter Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Male","M","More than one race","M",624,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Female","F","American Indian or Alaska Native","1002-5",125,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Female","F","Asian","A",1399,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Female","F","Black or African American","2054-5",5451,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",49,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Female","F","White","2106-3",26148,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Female","F","More than one race","M",161,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Male","M","American Indian or Alaska Native","1002-5",92,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Male","M","Asian","A",1773,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Male","M","Black or African American","2054-5",5084,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",41,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Male","M","White","2106-3",23997,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the respiratory system","J00-J98","Male","M","More than one race","M",151,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Female","F","American Indian or Alaska Native","1002-5",111,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Female","F","Asian","A",477,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Female","F","Black or African American","2054-5",2123,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",17,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Female","F","White","2106-3",9414,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Female","F","More than one race","M",88,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Male","M","American Indian or Alaska Native","1002-5",119,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Male","M","Asian","A",613,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Male","M","Black or African American","2054-5",2282,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",20,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Male","M","White","2106-3",11410,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the digestive system","K00-K92","Male","M","More than one race","M",105,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98","Female","F","Asian","A",23,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98","Female","F","Black or African American","2054-5",201,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98","Female","F","White","2106-3",446,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98","Male","M","Asian","A",20,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98","Male","M","Black or African American","2054-5",132,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98","Male","M","White","2106-3",371,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Asian","A",115,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","Black or African American","2054-5",583,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99","Female","F","White","2106-3",1546,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Asian","A",49,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","Black or African American","2054-5",277,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99","Male","M","White","2106-3",876,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Female","F","American Indian or Alaska Native","1002-5",25,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Female","F","Asian","A",500,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Female","F","Black or African American","2054-5",2421,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",16,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Female","F","White","2106-3",5875,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Female","F","More than one race","M",44,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Male","M","American Indian or Alaska Native","1002-5",18,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Male","M","Asian","A",497,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Male","M","Black or African American","2054-5",2335,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",15,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Male","M","White","2106-3",5808,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the genitourinary system","N00-N98","Male","M","More than one race","M",32,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Asian","A",24,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Pregnancy, childbirth and the puerperium","O00-O99","Female","F","Black or African American","2054-5",116,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Pregnancy, childbirth and the puerperium","O00-O99","Female","F","White","2106-3",144,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Female","F","Asian","A",98,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Female","F","Black or African American","2054-5",592,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Female","F","White","2106-3",760,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Female","F","More than one race","M",64,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Male","M","Asian","A",118,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Male","M","Black or African American","2054-5",844,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",11,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Male","M","White","2106-3",1030,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain conditions originating in the perinatal period","P00-P96","Male","M","More than one race","M",94,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","Asian","A",84,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","Black or African American","2054-5",323,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","White","2106-3",811,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Female","F","More than one race","M",31,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","American Indian or Alaska Native","1002-5",10,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Asian","A",72,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","Black or African American","2054-5",392,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","White","2106-3",901,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99","Male","M","More than one race","M",34,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Asian","A",144,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","Black or African American","2054-5",912,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","White","2106-3",3412,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Female","F","More than one race","M",27,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","American Indian or Alaska Native","1002-5",18,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Asian","A",119,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Black or African American","2054-5",999,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",10,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","White","2106-3",2818,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99","Male","M","More than one race","M",60,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Female","F","American Indian or Alaska Native","1002-5",121,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Female","F","Asian","A",837,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Female","F","Black or African American","2054-5",4090,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",32,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Female","F","White","2106-3",14288,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Female","F","More than one race","M",263,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Male","M","American Indian or Alaska Native","1002-5",263,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Male","M","Asian","A",1603,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Male","M","Black or African American","2054-5",12341,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",106,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Male","M","White","2106-3",31825,Not Available,Not Available
,"Large Central Metro","1","2018","2018","External causes of morbidity and mortality","V01-Y89","Male","M","More than one race","M",556,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Female","F","American Indian or Alaska Native","1002-5",42,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Female","F","Asian","A",337,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Female","F","Black or African American","2054-5",2342,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",15,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Female","F","White","2106-3",4945,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Female","F","More than one race","M",45,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Male","M","American Indian or Alaska Native","1002-5",34,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Male","M","Asian","A",432,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Male","M","Black or African American","2054-5",2612,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",13,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Male","M","White","2106-3",5728,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Certain infectious and parasitic diseases","A00-B99","Male","M","More than one race","M",65,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Female","F","American Indian or Alaska Native","1002-5",228,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Female","F","Asian","A",5098,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Female","F","Black or African American","2054-5",16221,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",160,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Female","F","White","2106-3",55431,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Female","F","More than one race","M",466,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Male","M","American Indian or Alaska Native","1002-5",212,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Male","M","Asian","A",5359,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Male","M","Black or African American","2054-5",15328,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",144,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Male","M","White","2106-3",60075,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Neoplasms","C00-D48","Male","M","More than one race","M",450,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","Asian","A",68,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","Black or African American","2054-5",532,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","White","2106-3",876,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Asian","A",63,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Black or African American","2054-5",422,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","White","2106-3",791,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","American Indian or Alaska Native","1002-5",81,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Asian","A",1115,Not Available,Not Available
,"Large Central Metro","1","2019","2019","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Black or African American","2054-5",4699,Not Available,Not Available
