"Notes","Year","Year Code","UCD - ICD Chapter","UCD - ICD Chapter Code","MCD - ICD-10 113 Cause List","MCD - ICD-10 113 Cause List Code",Deaths,Population,Crude Rate
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of trachea, bronchus and lung (C33-C34)","GR113-027",490,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant melanoma of skin (C43)","GR113-028",51,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of breast (C50)","GR113-029",297,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of cervix uteri (C53)","GR113-030",37,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)","GR113-031",58,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of ovary (C56)","GR113-032",57,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of prostate (C61)","GR113-033",294,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of kidney and renal pelvis (C64-C65)","GR113-034",86,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of bladder (C67)","GR113-035",146,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)","GR113-036",44,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)","GR113-037",609,327167434,0.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Hodgkin disease (C81)","GR113-038",18,327167434,Unreliable
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Non-Hodgkin lymphoma (C82-C85)","GR113-039",287,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Leukemia (C91-C95)","GR113-040",218,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Multiple myeloma and immunoproliferative neoplasms (C88,C90)","GR113-041",100,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)","GR113-043",764,327167434,0.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)","GR113-044",320,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Anemias (D50-D64)","GR113-045",1621,327167434,0.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Diabetes mellitus (E10-E14)","GR113-046",4672,327167434,1.4
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Nutritional deficiencies (E40-E64)","GR113-047",1294,327167434,0.4
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malnutrition (E40-E46)","GR113-048",1263,327167434,0.4
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other nutritional deficiencies (E50-E64)","GR113-049",34,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Meningitis (G00,G03)","GR113-050",132,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Parkinson disease (G20-G21)","GR113-051",386,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Alzheimer disease (G30)","GR113-052",568,327167434,0.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Major cardiovascular diseases (I00-I78)","GR113-053",26213,327167434,8.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054",22637,327167434,6.9
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)","GR113-055",123,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Hypertensive heart disease (I11)","GR113-056",288,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Hypertensive heart and renal disease (I13)","GR113-057",43,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Ischemic heart diseases (I20-I25)","GR113-058",4688,327167434,1.4
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Acute myocardial infarction (I21-I22)","GR113-059",1626,327167434,0.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other acute ischemic heart diseases (I24)","GR113-060",81,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other forms of chronic ischemic heart disease (I20,I25)","GR113-061",3174,327167434,1.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Atherosclerotic cardiovascular disease, so described (I25.0)","GR113-062",256,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)","GR113-063",2926,327167434,0.9
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other heart diseases (I26-I51)","GR113-064",19855,327167434,6.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Acute and subacute endocarditis (I33)","GR113-065",289,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Diseases of pericardium and acute myocarditis (I30-I31,I40)","GR113-066",107,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Heart failure (I50)","GR113-067",4970,327167434,1.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068",16557,327167434,5.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Essential hypertension and hypertensive renal disease (I10,I12,I15)","GR113-069",4224,327167434,1.3
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Cerebrovascular diseases (I60-I69)","GR113-070",2538,327167434,0.8
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Atherosclerosis (I70)","GR113-071",95,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other diseases of circulatory system (I71-I78)","GR113-072",801,327167434,0.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Aortic aneurysm and dissection (I71)","GR113-073",99,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other diseases of arteries, arterioles and capillaries (I72-I78)","GR113-074",706,327167434,0.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other disorders of circulatory system (I80-I99)","GR113-075",1777,327167434,0.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Influenza and pneumonia (J09-J18)","GR113-076",8389,327167434,2.6
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Influenza (J09-J11)","GR113-077",201,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Pneumonia (J12-J18)","GR113-078",8192,327167434,2.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other acute lower respiratory infections (J20-J22,U04)","GR113-079",33,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Acute bronchitis and bronchiolitis (J20-J21)","GR113-080",26,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Chronic lower respiratory diseases (J40-J47)","GR113-082",3774,327167434,1.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Bronchitis, chronic and unspecified (J40-J42)","GR113-083",30,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Emphysema (J43)","GR113-084",190,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Asthma (J45-J46)","GR113-085",162,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other chronic lower respiratory diseases (J44,J47)","GR113-086",3439,327167434,1.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Pneumoconioses and chemical effects (J60-J66,J68,U07.0)","GR113-087",19,327167434,Unreliable
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Pneumonitis due to solids and liquids (J69)","GR113-088",1529,327167434,0.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)","GR113-089",18159,327167434,5.6
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Peptic ulcer (K25-K28)","GR113-090",171,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Diseases of appendix (K35-K38)","GR113-091",35,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Hernia (K40-K46)","GR113-092",67,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Chronic liver disease and cirrhosis (K70,K73-K74)","GR113-093",4906,327167434,1.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Alcoholic liver disease (K70)","GR113-094",1118,327167434,0.3
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other chronic liver disease and cirrhosis (K73-K74)","GR113-095",3894,327167434,1.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Cholelithiasis and other disorders of gallbladder (K80-K82)","GR113-096",188,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","GR113-097",9613,327167434,2.9
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)","GR113-098",130,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)","GR113-099",26,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Renal failure (N17-N19)","GR113-100",9537,327167434,2.9
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Infections of kidney (N10-N12,N13.6,N15.1)","GR113-102",109,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Hyperplasia of prostate (N40)","GR113-103",61,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Inflammatory diseases of female pelvic organs (N70-N76)","GR113-104",10,327167434,Unreliable
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Certain conditions originating in the perinatal period (P00-P96)","GR113-108",255,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109",272,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110",17929,327167434,5.5
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","All other diseases (Residual) ","GR113-111",25428,327167434,7.8
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112",1114,327167434,0.3
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Transport accidents (V01-V99,Y85)","GR113-113",39,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)","GR113-114",26,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)","GR113-116",12,327167434,Unreliable
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Nontransport accidents (W00-X59,Y86)","GR113-117",1076,327167434,0.3
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Falls (W00-W19)","GR113-118",152,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Accidental poisoning and exposure to noxious substances (X40-X49)","GR113-122",98,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)","GR113-123",827,327167434,0.3
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Complications of medical and surgical care (Y40-Y84,Y88)","GR113-135",707,327167434,0.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Enterocolitis due to Clostridium difficile (A04.7)","GR113-136",5609,327167434,1.7
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other contributing conditions (O08,S,T)","GR113-137",1367,327167434,0.4
,"2018","2018","Neoplasms","C00-D48","Salmonella infections (A01-A02)","GR113-001",13,327167434,Unreliable
,"2018","2018","Neoplasms","C00-D48","Certain other intestinal infections (A04,A07-A09)","GR113-003",1496,327167434,0.5
,"2018","2018","Neoplasms","C00-D48","Tuberculosis (A16-A19)","GR113-004",109,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Respiratory tuberculosis (A16)","GR113-005",96,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Other tuberculosis (A17-A19)","GR113-006",13,327167434,Unreliable
,"2018","2018","Neoplasms","C00-D48","Septicemia (A40-A41)","GR113-010",27429,327167434,8.4
,"2018","2018","Neoplasms","C00-D48","Syphilis (A50-A53)","GR113-011",12,327167434,Unreliable
,"2018","2018","Neoplasms","C00-D48","Viral hepatitis (B15-B19)","GR113-015",5310,327167434,1.6
,"2018","2018","Neoplasms","C00-D48","Human immunodeficiency virus (HIV) disease (B20-B24)","GR113-016",633,327167434,0.2
,"2018","2018","Neoplasms","C00-D48","Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1,U09.9)","GR113-018",4939,327167434,1.5
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms (C00-C97)","GR113-019",600067,327167434,183.4
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","GR113-020",11023,327167434,3.4
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of esophagus (C15)","GR113-021",15849,327167434,4.8
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of stomach (C16)","GR113-022",11403,327167434,3.5
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of colon, rectum and anus (C18-C21)","GR113-023",55304,327167434,16.9
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of liver and intrahepatic bile ducts (C22)","GR113-024",28370,327167434,8.7
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of pancreas (C25)","GR113-025",45862,327167434,14.0
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of larynx (C32)","GR113-026",4162,327167434,1.3
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of trachea, bronchus and lung (C33-C34)","GR113-027",143602,327167434,43.9
,"2018","2018","Neoplasms","C00-D48","Malignant melanoma of skin (C43)","GR113-028",8639,327167434,2.6
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of breast (C50)","GR113-029",45305,327167434,13.8
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of cervix uteri (C53)","GR113-030",4347,327167434,1.3
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)","GR113-031",11792,327167434,3.6
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of ovary (C56)","GR113-032",14205,327167434,4.3
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of prostate (C61)","GR113-033",34531,327167434,10.6
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of kidney and renal pelvis (C64-C65)","GR113-034",15116,327167434,4.6
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasm of bladder (C67)","GR113-035",18218,327167434,5.6
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)","GR113-036",17444,327167434,5.3
,"2018","2018","Neoplasms","C00-D48","Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)","GR113-037",60676,327167434,18.5
,"2018","2018","Neoplasms","C00-D48","Hodgkin disease (C81)","GR113-038",1197,327167434,0.4
,"2018","2018","Neoplasms","C00-D48","Non-Hodgkin lymphoma (C82-C85)","GR113-039",21942,327167434,6.7
,"2018","2018","Neoplasms","C00-D48","Leukemia (C91-C95)","GR113-040",24939,327167434,7.6
,"2018","2018","Neoplasms","C00-D48","Multiple myeloma and immunoproliferative neoplasms (C88,C90)","GR113-041",13434,327167434,4.1
,"2018","2018","Neoplasms","C00-D48","Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)","GR113-042",133,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)","GR113-043",146900,327167434,44.9
,"2018","2018","Neoplasms","C00-D48","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)","GR113-044",19171,327167434,5.9
,"2018","2018","Neoplasms","C00-D48","Anemias (D50-D64)","GR113-045",17243,327167434,5.3
,"2018","2018","Neoplasms","C00-D48","Diabetes mellitus (E10-E14)","GR113-046",30697,327167434,9.4
,"2018","2018","Neoplasms","C00-D48","Nutritional deficiencies (E40-E64)","GR113-047",9750,327167434,3.0
,"2018","2018","Neoplasms","C00-D48","Malnutrition (E40-E46)","GR113-048",9463,327167434,2.9
,"2018","2018","Neoplasms","C00-D48","Other nutritional deficiencies (E50-E64)","GR113-049",297,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Meningitis (G00,G03)","GR113-050",193,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Parkinson disease (G20-G21)","GR113-051",1870,327167434,0.6
,"2018","2018","Neoplasms","C00-D48","Alzheimer disease (G30)","GR113-052",3170,327167434,1.0
,"2018","2018","Neoplasms","C00-D48","Major cardiovascular diseases (I00-I78)","GR113-053",153459,327167434,46.9
,"2018","2018","Neoplasms","C00-D48","Diseases of heart (I00-I09,I11,I13,I20-I51)","GR113-054",117596,327167434,35.9
,"2018","2018","Neoplasms","C00-D48","Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)","GR113-055",253,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Hypertensive heart disease (I11)","GR113-056",1832,327167434,0.6
,"2018","2018","Neoplasms","C00-D48","Hypertensive heart and renal disease (I13)","GR113-057",209,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Ischemic heart diseases (I20-I25)","GR113-058",27566,327167434,8.4
,"2018","2018","Neoplasms","C00-D48","Acute myocardial infarction (I21-I22)","GR113-059",3805,327167434,1.2
,"2018","2018","Neoplasms","C00-D48","Other acute ischemic heart diseases (I24)","GR113-060",214,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Other forms of chronic ischemic heart disease (I20,I25)","GR113-061",24272,327167434,7.4
,"2018","2018","Neoplasms","C00-D48","Atherosclerotic cardiovascular disease, so described (I25.0)","GR113-062",1611,327167434,0.5
,"2018","2018","Neoplasms","C00-D48","All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)","GR113-063",22740,327167434,7.0
,"2018","2018","Neoplasms","C00-D48","Other heart diseases (I26-I51)","GR113-064",98046,327167434,30.0
,"2018","2018","Neoplasms","C00-D48","Acute and subacute endocarditis (I33)","GR113-065",89,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Diseases of pericardium and acute myocarditis (I30-I31,I40)","GR113-066",1119,327167434,0.3
,"2018","2018","Neoplasms","C00-D48","Heart failure (I50)","GR113-067",20264,327167434,6.2
,"2018","2018","Neoplasms","C00-D48","All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)","GR113-068",83459,327167434,25.5
,"2018","2018","Neoplasms","C00-D48","Essential hypertension and hypertensive renal disease (I10,I12,I15)","GR113-069",46307,327167434,14.2
,"2018","2018","Neoplasms","C00-D48","Cerebrovascular diseases (I60-I69)","GR113-070",13945,327167434,4.3
,"2018","2018","Neoplasms","C00-D48","Atherosclerosis (I70)","GR113-071",1091,327167434,0.3
,"2018","2018","Neoplasms","C00-D48","Other diseases of circulatory system (I71-I78)","GR113-072",3932,327167434,1.2
,"2018","2018","Neoplasms","C00-D48","Aortic aneurysm and dissection (I71)","GR113-073",828,327167434,0.3
,"2018","2018","Neoplasms","C00-D48","Other diseases of arteries, arterioles and capillaries (I72-I78)","GR113-074",3159,327167434,1.0
,"2018","2018","Neoplasms","C00-D48","Other disorders of circulatory system (I80-I99)","GR113-075",8582,327167434,2.6
,"2018","2018","Neoplasms","C00-D48","Influenza and pneumonia (J09-J18)","GR113-076",22832,327167434,7.0
,"2018","2018","Neoplasms","C00-D48","Influenza (J09-J11)","GR113-077",269,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Pneumonia (J12-J18)","GR113-078",22568,327167434,6.9
,"2018","2018","Neoplasms","C00-D48","Other acute lower respiratory infections (J20-J22,U04)","GR113-079",39,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Acute bronchitis and bronchiolitis (J20-J21)","GR113-080",23,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Other and unspecified acute lower respiratory infections (J22,U04)","GR113-081",16,327167434,Unreliable
,"2018","2018","Neoplasms","C00-D48","Chronic lower respiratory diseases (J40-J47)","GR113-082",43355,327167434,13.3
,"2018","2018","Neoplasms","C00-D48","Bronchitis, chronic and unspecified (J40-J42)","GR113-083",142,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Emphysema (J43)","GR113-084",2576,327167434,0.8
,"2018","2018","Neoplasms","C00-D48","Asthma (J45-J46)","GR113-085",1091,327167434,0.3
,"2018","2018","Neoplasms","C00-D48","Other chronic lower respiratory diseases (J44,J47)","GR113-086",40006,327167434,12.2
,"2018","2018","Neoplasms","C00-D48","Pneumoconioses and chemical effects (J60-J66,J68,U07.0)","GR113-087",260,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Pneumonitis due to solids and liquids (J69)","GR113-088",4722,327167434,1.4
,"2018","2018","Neoplasms","C00-D48","Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)","GR113-089",64313,327167434,19.7
,"2018","2018","Neoplasms","C00-D48","Peptic ulcer (K25-K28)","GR113-090",624,327167434,0.2
,"2018","2018","Neoplasms","C00-D48","Diseases of appendix (K35-K38)","GR113-091",105,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Hernia (K40-K46)","GR113-092",177,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Chronic liver disease and cirrhosis (K70,K73-K74)","GR113-093",7896,327167434,2.4
,"2018","2018","Neoplasms","C00-D48","Alcoholic liver disease (K70)","GR113-094",1730,327167434,0.5
,"2018","2018","Neoplasms","C00-D48","Other chronic liver disease and cirrhosis (K73-K74)","GR113-095",6209,327167434,1.9
,"2018","2018","Neoplasms","C00-D48","Cholelithiasis and other disorders of gallbladder (K80-K82)","GR113-096",447,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","GR113-097",25089,327167434,7.7
,"2018","2018","Neoplasms","C00-D48","Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)","GR113-098",303,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)","GR113-099",61,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Renal failure (N17-N19)","GR113-100",24894,327167434,7.6
,"2018","2018","Neoplasms","C00-D48","Other disorders of kidney (N25,N27)","GR113-101",11,327167434,Unreliable
,"2018","2018","Neoplasms","C00-D48","Infections of kidney (N10-N12,N13.6,N15.1)","GR113-102",217,327167434,0.1
,"2018","2018","Neoplasms","C00-D48","Hyperplasia of prostate (N40)","GR113-103",931,327167434,0.3
,"2018","2018","Neoplasms","C00-D48","Inflammatory diseases of female pelvic organs (N70-N76)","GR113-104",80,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Certain conditions originating in the perinatal period (P00-P96)","GR113-108",33,327167434,0.0
,"2018","2018","Neoplasms","C00-D48","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","GR113-109",704,327167434,0.2
,"2018","2018","Neoplasms","C00-D48","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","GR113-110",67935,327167434,20.8
,"2018","2018","Neoplasms","C00-D48","All other diseases (Residual) ","GR113-111",183376,327167434,56.0
,"2018","2018","Neoplasms","C00-D48","Accidents (unintentional injuries) (V01-X59,Y85-Y86)","GR113-112",3457,327167434,1.1
