"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"35-44 years"	"35-44"	"2015"	"2015"	446	40589783	1.098798680	0.996820614	1.200776746	0.052029626	0.055032853%
	"35-44 years"	"35-44"	"2016"	"2016"	466	40470156	1.151465786	1.046918166	1.256013406	0.053340622	0.057500694%
	"35-44 years"	"35-44"	"2017"	"2017"	470	40875370	1.149836687	1.045882184	1.253791189	0.053038011	0.057994262%
	"35-44 years"	"35-44"	"2018"	"2018"	432	41277888	1.046565173	0.947873508	1.145256838	0.050352890	0.053305364%
	"35-44 years"	"35-44"	"2019"	"2019"	479	41659144	1.149807591	1.046836933	1.252778249	0.052536050	0.059104791%
	"35-44 years"	"35-44"	"2020"	"2020"	458	42136192	1.086951569	0.987403343	1.186499795	0.050789911	0.056513558%
"Total"	"35-44 years"	"35-44"			10938	931287288	1.174503307	1.152492227	1.196514388	0.011230143	1.349662214%
	"45-54 years"	"45-54"	"1999"	"1999"	2353	36577819	6.432860308	6.172934604	6.692786012	0.132615155	0.290341487%
	"45-54 years"	"45-54"	"2000"	"2000"	2362	37677952	6.268918226	6.016099796	6.521736655	0.128988995	0.291452016%
	"45-54 years"	"45-54"	"2001"	"2001"	2410	39386268	6.118883871	5.874585956	6.363181786	0.124641794	0.297374834%
	"45-54 years"	"45-54"	"2002"	"2002"	2433	39992194	6.083687232	5.841945351	6.325429112	0.123337694	0.300212851%
	"45-54 years"	"45-54"	"2003"	"2003"	2540	40819954	6.222446993	5.980455321	6.464438664	0.123465138	0.313415800%
	"45-54 years"	"45-54"	"2004"	"2004"	2641	41629930	6.343993372	6.102038378	6.585948367	0.123446426	0.325878397%
	"45-54 years"	"45-54"	"2005"	"2005"	2744	42495904	6.457092900	6.215490607	6.698695194	0.123266476	0.338587778%
	"45-54 years"	"45-54"	"2006"	"2006"	2730	43286159	6.306865897	6.070280277	6.543451517	0.120706949	0.336860289%
	"45-54 years"	"45-54"	"2007"	"2007"	2808	43939939	6.390541416	6.154169882	6.626912950	0.120597721	0.346484869%
	"45-54 years"	"45-54"	"2008"	"2008"	2840	44460447	6.387700061	6.152768471	6.622631650	0.119863056	0.350433415%
	"45-54 years"	"45-54"	"2009"	"2009"	2836	44867088	6.320891608	6.088253262	6.553529954	0.118693034	0.349939846%
	"45-54 years"	"45-54"	"2010"	"2010"	2869	45006716	6.374604181	6.141342168	6.607866195	0.119011231	0.354011784%
	"45-54 years"	"45-54"	"2011"	"2011"	2771	44718203	6.196581736	5.965859214	6.427304259	0.117715573	0.341919363%
	"45-54 years"	"45-54"	"2012"	"2012"	2798	44268738	6.320487383	6.086289597	6.554685169	0.119488666	0.345250949%
	"45-54 years"	"45-54"	"2013"	"2013"	2717	43767532	6.207798055	5.974372267	6.441223842	0.119094790	0.335256193%
	"45-54 years"	"45-54"	"2014"	"2014"	2747	43458851	6.320921830	6.084543772	6.557299889	0.120601050	0.338957954%
	"45-54 years"	"45-54"	"2015"	"2015"	2704	43188161	6.260975085	6.024984486	6.496965685	0.120403367	0.333652096%
	"45-54 years"	"45-54"	"2016"	"2016"	2682	42786679	6.268306077	6.031072106	6.505540049	0.121037741	0.330937471%
	"45-54 years"	"45-54"	"2017"	"2017"	2556	42374952	6.031865240	5.798020677	6.265709803	0.119308450	0.315390073%
	"45-54 years"	"45-54"	"2018"	"2018"	2460	41631699	5.908958940	5.675452163	6.142465718	0.119136111	0.303544437%
	"45-54 years"	"45-54"	"2019"	"2019"	2448	40874902	5.989005185	5.751755822	6.226254547	0.121045593	0.302063732%
	"45-54 years"	"45-54"	"2020"	"2020"	2447	40366133	6.062012430	5.821821884	6.302202976	0.122546197	0.301940340%
"Total"	"45-54 years"	"45-54"			57896	927576220	6.241643409	6.190800459	6.292486359	0.025940281	7.143905975%
	"55-64 years"	"55-64"	"1999"	"1999"	4707	23778026	19.795587741	19.230062006	20.361113477	0.288533538	0.580806367%
	"55-64 years"	"55-64"	"2000"	"2000"	4708	24274684	19.394691194	18.840677227	19.948705160	0.282660187	0.580929759%
	"55-64 years"	"55-64"	"2001"	"2001"	4868	25105295	19.390331801	18.845620949	19.935042652	0.277913700	0.600672487%
	"55-64 years"	"55-64"	"2002"	"2002"	5105	26703332	19.117464442	18.593033281	19.641895604	0.267566919	0.629916402%
	"55-64 years"	"55-64"	"2003"	"2003"	5320	28008945	18.993932117	18.483526862	19.504337372	0.260410844	0.656445692%
	"55-64 years"	"55-64"	"2004"	"2004"	5756	29305304	19.641495615	19.134072516	20.148918713	0.258889336	0.710244625%
	"55-64 years"	"55-64"	"2005"	"2005"	5984	30641497	19.529071964	19.034258071	20.023885857	0.252456068	0.738378012%
	"55-64 years"	"55-64"	"2006"	"2006"	6298	31930113	19.724327315	19.237183779	20.211470850	0.248542620	0.777123114%
	"55-64 years"	"55-64"	"2007"	"2007"	6507	33128434	19.641737367	19.164487773	20.118986961	0.243494691	0.802912052%
	"55-64 years"	"55-64"	"2008"	"2008"	6681	34157063	19.559644224	19.090618906	20.028669541	0.239298632	0.824382269%
	"55-64 years"	"55-64"	"2009"	"2009"	7183	35405600	20.287751090	19.818573731	20.756928449	0.239376203	0.886325076%
	"55-64 years"	"55-64"	"2010"	"2010"	7382	36482729	20.234231929	19.772642585	20.695821273	0.235504767	0.910880094%
	"55-64 years"	"55-64"	"2011"	"2011"	7529	38062140	19.780811063	19.333992181	20.227629945	0.227968817	0.929018725%
	"55-64 years"	"55-64"	"2012"	"2012"	7843	38586202	20.325918576	19.876071248	20.775765904	0.229513943	0.967763828%
	"55-64 years"	"55-64"	"2013"	"2013"	7708	39316431	19.605034852	19.167358746	20.042710957	0.223304135	0.951105901%
	"55-64 years"	"55-64"	"2014"	"2014"	8299	40077581	20.707337601	20.261817346	21.152857856	0.227306252	1.024030601%
	"55-64 years"	"55-64"	"2015"	"2015"	8307	40877819	20.321534278	19.884525198	20.758543357	0.222963816	1.025017738%
	"55-64 years"	"55-64"	"2016"	"2016"	8565	41463144	20.656899535	20.219420218	21.094378851	0.223203733	1.056852886%
	"55-64 years"	"55-64"	"2017"	"2017"	8633	41995658	20.556887095	20.123243884	20.990530306	0.221246536	1.065243545%
	"55-64 years"	"55-64"	"2018"	"2018"	8737	42272636	20.668216669	20.234827644	21.101605694	0.221116849	1.078076318%
	"55-64 years"	"55-64"	"2019"	"2019"	9047	42448537	21.312866448	20.873683328	21.752049568	0.224073020	1.116327853%
	"55-64 years"	"55-64"	"2020"	"2020"	8695	42403677	20.505297218	20.074287217	20.936307218	0.219903061	1.072893852%
"Total"	"55-64 years"	"55-64"			153862	766424847	20.075288608	19.974976771	20.175600445	0.051179508	18.985347194%
	"65-74 years"	"65-74"	"1999"	"1999"	8293	18418909	45.024382280	44.055328228	45.993436332	0.494415333	1.023290249%
	"65-74 years"	"65-74"	"2000"	"2000"	8103	18390986	44.059627907	43.100284761	45.018971053	0.489460789	0.999845760%
	"65-74 years"	"65-74"	"2001"	"2001"	8158	18384179	44.375111883	43.412162006	45.338061760	0.491300958	1.006632323%
	"65-74 years"	"65-74"	"2002"	"2002"	8187	18388535	44.522306970	43.557875583	45.486738357	0.492056830	1.010210692%
	"65-74 years"	"65-74"	"2003"	"2003"	8104	18500915	43.803238921	42.849537171	44.756940671	0.486582526	0.999969152%
	"65-74 years"	"65-74"	"2004"	"2004"	8178	18667533	43.808681093	42.859186061	44.758176126	0.484436241	1.009100163%
	"65-74 years"	"65-74"	"2005"	"2005"	8288	18881697	43.894359707	42.949342060	44.839377354	0.482151861	1.022673289%
	"65-74 years"	"65-74"	"2006"	"2006"	8473	19203027	44.123252027	43.183734293	45.062769761	0.479345783	1.045500817%
	"65-74 years"	"65-74"	"2007"	"2007"	8671	19698727	44.018072843	43.091557740	44.944587946	0.472711787	1.069932443%
	"65-74 years"	"65-74"	"2008"	"2008"	9115	20505679	44.451100595	43.538543065	45.363658126	0.465590577	1.124718512%
	"65-74 years"	"65-74"	"2009"	"2009"	9276	21233099	43.686510386	42.797466793	44.575553980	0.453593670	1.144584632%
	"65-74 years"	"65-74"	"2010"	"2010"	9658	21713429	44.479386466	43.592289163	45.366483769	0.452600665	1.191720394%
	"65-74 years"	"65-74"	"2011"	"2011"	10058	22481738	44.738534005	43.864190668	45.612877342	0.446093539	1.241077213%
	"65-74 years"	"65-74"	"2012"	"2012"	10683	23985392	44.539609776	43.695000465	45.384219087	0.430923118	1.318197242%
	"65-74 years"	"65-74"	"2013"	"2013"	10951	25216766	43.427456161	42.614076006	44.240836317	0.414989875	1.351266311%
	"65-74 years"	"65-74"	"2014"	"2014"	11541	26398290	43.718740873	42.921109925	44.516371821	0.406954565	1.424067619%
	"65-74 years"	"65-74"	"2015"	"2015"	12438	27550517	45.146158237	44.352741067	45.939575407	0.404804679	1.534750285%
	"65-74 years"	"65-74"	"2016"	"2016"	12771	28630330	44.606541385	43.832895589	45.380187181	0.394717243	1.575839837%
	"65-74 years"	"65-74"	"2017"	"2017"	13692	29683446	46.126719923	45.354083462	46.899356385	0.394202276	1.689483913%
	"65-74 years"	"65-74"	"2018"	"2018"	13982	30492316	45.854175196	45.094110941	46.614239451	0.387787885	1.725267607%
	"65-74 years"	"65-74"	"2019"	"2019"	14423	31483433	45.811395473	45.063739528	46.559051417	0.381457115	1.779683499%
	"65-74 years"	"65-74"	"2020"	"2020"	15072	32549398	46.305003859	45.565741569	47.044266149	0.377174638	1.859764938%
"Total"	"65-74 years"	"65-74"			228115	510458341	44.688269674	44.504880925	44.871658423	0.093565688	28.147576889%
	"75-84 years"	"75-84"	"1999"	"1999"	8933	12224914	73.072088687	71.556752740	74.587424634	0.773130585	1.102261159%
	"75-84 years"	"75-84"	"2000"	"2000"	9459	12361180	76.521820732	74.979698659	78.063942806	0.786796976	1.167165376%
	"75-84 years"	"75-84"	"2001"	"2001"	9322	12593618	74.021619522	72.518961671	75.524277373	0.766662169	1.150260666%
	"75-84 years"	"75-84"	"2002"	"2002"	9555	12764864	74.853911487	73.352999504	76.354823470	0.765771420	1.179011013%
	"75-84 years"	"75-84"	"2003"	"2003"	9708	12896438	75.276599632	73.779153595	76.774045668	0.764003080	1.197889996%
	"75-84 years"	"75-84"	"2004"	"2004"	9853	12989903	75.851220752	74.353487732	77.348953772	0.764149500	1.215781843%
	"75-84 years"	"75-84"	"2005"	"2005"	10147	13074802	77.607293785	76.097249164	79.117338407	0.770430929	1.252059105%
	"75-84 years"	"75-84"	"2006"	"2006"	10260	13095151	78.349612005	76.833542050	79.865681960	0.773505079	1.266002406%
	"75-84 years"	"75-84"	"2007"	"2007"	10317	13087439	78.831312986	77.310141710	80.352484263	0.776107794	1.273035753%
	"75-84 years"	"75-84"	"2008"	"2008"	10414	13076102	79.641471136	78.111840552	81.171101720	0.780423767	1.285004781%
	"75-84 years"	"75-84"	"2009"	"2009"	10205	13022775	78.362714552	76.842310429	79.883118675	0.775716389	1.259215844%
	"75-84 years"	"75-84"	"2010"	"2010"	10452	13061122	80.023752936	78.489576579	81.557929294	0.782743040	1.289693679%
	"75-84 years"	"75-84"	"2011"	"2011"	10436	13175230	79.209243406	77.689518779	80.728968033	0.775369708	1.287719406%
	"75-84 years"	"75-84"	"2012"	"2012"	10587	13272634	79.765629038	78.246182551	81.285075524	0.775227799	1.306351606%
	"75-84 years"	"75-84"	"2013"	"2013"	10556	13446519	78.503588921	77.005988711	80.001189131	0.764081740	1.302526452%
	"75-84 years"	"75-84"	"2014"	"2014"	10748	13682690	78.551805237	77.066730150	80.036880324	0.757691371	1.326217725%
	"75-84 years"	"75-84"	"2015"	"2015"	11030	13923174	79.220442120	77.741995745	80.698888496	0.754309375	1.361014283%
	"75-84 years"	"75-84"	"2016"	"2016"	11462	14233534	80.528138690	79.053880564	82.002396816	0.752172513	1.414319647%
	"75-84 years"	"75-84"	"2017"	"2017"	11839	14706551	80.501539756	79.051423743	81.951655769	0.739855109	1.460838449%
	"75-84 years"	"75-84"	"2018"	"2018"	12409	15394374	80.607369939	79.189088465	82.025651414	0.723612997	1.531171916%
	"75-84 years"	"75-84"	"2019"	"2019"	12684	15969872	79.424556440	78.042318680	80.806794200	0.705223347	1.565104729%
	"75-84 years"	"75-84"	"2020"	"2020"	13227	16451547	80.399733837	79.029546323	81.769921350	0.699075262	1.632106611%
"Total"	"75-84 years"	"75-84"			233603	298504433	78.257799274	77.940444895	78.575153652	0.161915499	28.824752445%
	"85+ years"	"85+"	"1999"	"1999"	4142	4154018	99.710689747	96.674053689	102.747325804	1.549304111	0.511089860%
	"85+ years"	"85+"	"2000"	"2000"	4087	4239587	96.400899427	93.445373058	99.356425796	1.507921617	0.504303298%
	"85+ years"	"85+"	"2001"	"2001"	4410	4312494	102.261011841	99.242819851	105.279203832	1.539893873	0.544158929%
	"85+ years"	"85+"	"2002"	"2002"	4340	4368808	99.340598168	96.385050437	102.296145898	1.507932515	0.535521486%
	"85+ years"	"85+"	"2003"	"2003"	4486	4466176	100.443869655	97.504529332	103.383209978	1.499663430	0.553536725%
	"85+ years"	"85+"	"2004"	"2004"	4749	4545883	104.468152832	101.496904833	107.439400831	1.515942857	0.585988833%
	"85+ years"	"85+"	"2005"	"2005"	4962	4693299	105.725205234	102.783452077	108.666958392	1.500894468	0.612271339%
	"85+ years"	"85+"	"2006"	"2006"	5130	4865929	105.426939029	102.541917979	108.311960078	1.471949515	0.633001203%
	"85+ years"	"85+"	"2007"	"2007"	5217	5039545	103.521250430	100.712098927	106.330401933	1.433240563	0.643736311%
	"85+ years"	"85+"	"2008"	"2008"	5616	5195840	108.086469175	105.259547004	110.913391346	1.442307230	0.692969738%
	"85+ years"	"85+"	"2009"	"2009"	5574	5367301	103.851078969	101.124716452	106.577441485	1.391001284	0.687787272%
	"85+ years"	"85+"	"2010"	"2010"	5984	5493433	108.930062495	106.170069170	111.690055820	1.408159860	0.738378012%
	"85+ years"	"85+"	"2011"	"2011"	6066	5737173	105.731516201	103.070733990	108.392298413	1.357541945	0.748496159%
	"85+ years"	"85+"	"2012"	"2012"	6406	5887330	108.809935913	106.145341219	111.474530607	1.359487089	0.790449456%
	"85+ years"	"85+"	"2013"	"2013"	6538	6040789	108.230895004	105.607372082	110.854417926	1.338532103	0.806737206%
	"85+ years"	"85+"	"2014"	"2014"	6578	6162231	106.747053137	104.167377920	109.326728355	1.316160825	0.811672888%
	"85+ years"	"85+"	"2015"	"2015"	6614	6287161	105.198514878	102.663190194	107.733839563	1.293533002	0.816115001%
	"85+ years"	"85+"	"2016"	"2016"	6744	6380331	105.699845353	103.177110296	108.222580410	1.287109723	0.832155968%
	"85+ years"	"85+"	"2017"	"2017"	6761	6468682	104.518973108	102.027560043	107.010386173	1.271129115	0.834253632%
	"85+ years"	"85+"	"2018"	"2018"	6826	6544503	104.301273909	101.826915869	106.775631948	1.262427571	0.842274115%
	"85+ years"	"85+"	"2019"	"2019"	6743	6604958	102.089975440	99.653216372	104.526734507	1.243244422	0.832032576%
	"85+ years"	"85+"	"2020"	"2020"	6810	6658420	102.276516050	99.847343074	104.705689027	1.239373968	0.840299843%
"Total"	"85+ years"	"85+"			124783	119513891	104.408783746	103.829467914	104.988099577	0.295569302	15.397229849%
"Total"					810425	4473854489	18.114692867	18.075253437	18.154132297	0.020122158	100.000000000%
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"ICD-10 Codes: C25.0 (Head of pancreas - Malignant neoplasms); C25.1 (Body of pancreas - Malignant neoplasms); C25.2 (Tail of"
"pancreas - Malignant neoplasms); C25.3 (Pancreatic duct - Malignant neoplasms); C25.4 (Endocrine pancreas - Malignant"
"neoplasms); C25.7 (Other parts of pancreas - Malignant neoplasms); C25.8 (Overlapping lesion of pancreas - Malignant neoplasms);"
"C25.9 (Pancreas, unspecified - Malignant neoplasms)"
"Ten-Year Age Groups: 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years"
"Group By: Ten-Year Age Groups; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Jun 4, 2025 1:32:37 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Jun 4, 2025 1:32:37 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"5. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"6. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Confidence-Intervals."
"7. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Standard-Errors."
"8. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"9. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#ICD-10 Changes."
